Simulation Run Started: 09-Mar-2015 17:12:02
Baseline Simulation Run - With Lettuce & All ISRU
Failure invoked in waterRS.WPAerror at tick 1
Female 2 is currently dehydrated on tick: 4148
Male 1 is currently dehydrated on tick: 4149
Female 1 is currently dehydrated on tick: 4149
Male 2 is currently dehydrated on tick: 4149
Female 2 is currently dehydrated on tick: 4149
Male 1 is currently dehydrated on tick: 4150
Female 1 is currently dehydrated on tick: 4150
Male 2 is currently dehydrated on tick: 4150
Female 2 is currently dehydrated on tick: 4150
Male 1 is currently dehydrated on tick: 4151
Female 1 is currently dehydrated on tick: 4151
Male 2 is currently dehydrated on tick: 4151
Female 2 is currently dehydrated on tick: 4151
Male 1 is currently dehydrated on tick: 4152
Female 1 is currently dehydrated on tick: 4152
Male 2 is currently dehydrated on tick: 4152
Female 2 is currently dehydrated on tick: 4152
Male 1 is currently dehydrated on tick: 4153
Female 1 is currently dehydrated on tick: 4153
Male 2 is currently dehydrated on tick: 4153
Female 2 is currently dehydrated on tick: 4153
Male 1 is currently dehydrated on tick: 4154
Female 1 is currently dehydrated on tick: 4154
Male 2 is currently dehydrated on tick: 4154
Female 2 is currently dehydrated on tick: 4154
Male 1 is currently dehydrated on tick: 4155
Female 1 is currently dehydrated on tick: 4155
Male 2 is currently dehydrated on tick: 4155
Female 2 is currently dehydrated on tick: 4155
Male 1 is currently dehydrated on tick: 4156
Female 1 is currently dehydrated on tick: 4156
Male 2 is currently dehydrated on tick: 4156
Female 2 is currently dehydrated on tick: 4156
Male 1 is currently dehydrated on tick: 4157
Female 1 is currently dehydrated on tick: 4157
Male 2 is currently dehydrated on tick: 4157
Female 2 is currently dehydrated on tick: 4157
Male 1 is currently dehydrated on tick: 4158
Female 1 is currently dehydrated on tick: 4158
Male 2 is currently dehydrated on tick: 4158
Female 2 is currently dehydrated on tick: 4158
Male 1 is currently dehydrated on tick: 4159
Female 1 is currently dehydrated on tick: 4159
Male 2 is currently dehydrated on tick: 4159
Female 2 is currently dehydrated on tick: 4159
Male 1 is currently dehydrated on tick: 4160
Female 1 is currently dehydrated on tick: 4160
Male 2 is currently dehydrated on tick: 4160
Female 2 is currently dehydrated on tick: 4160
Male 1 is currently dehydrated on tick: 4161
Female 1 is currently dehydrated on tick: 4161
Male 2 is currently dehydrated on tick: 4161
Female 2 is currently dehydrated on tick: 4161
Male 1 is currently dehydrated on tick: 4162
Female 1 is currently dehydrated on tick: 4162
Male 2 is currently dehydrated on tick: 4162
Female 2 is currently dehydrated on tick: 4162
Male 1 is currently dehydrated on tick: 4163
Female 1 is currently dehydrated on tick: 4163
Male 2 is currently dehydrated on tick: 4163
Female 2 is currently dehydrated on tick: 4163
Insufficient resources available to fill PLSS Feedwater Reservoir. Filling store with as many resources as is available
Male 1 is currently dehydrated on tick: 4164
Female 1 is currently dehydrated on tick: 4164
Male 2 is currently dehydrated on tick: 4164
Female 2 is currently dehydrated on tick: 4164
Male 1 is currently dehydrated on tick: 4165
Female 1 is currently dehydrated on tick: 4165
Male 2 is currently dehydrated on tick: 4165
Female 2 is currently dehydrated on tick: 4165
Male 1 is currently dehydrated on tick: 4166
Female 1 is currently dehydrated on tick: 4166
Male 2 is currently dehydrated on tick: 4166
Female 2 is currently dehydrated on tick: 4166
Male 1 is currently dehydrated on tick: 4167
Female 1 is currently dehydrated on tick: 4167
Male 2 is currently dehydrated on tick: 4167
Female 2 is currently dehydrated on tick: 4167
Male 1 is currently dehydrated on tick: 4168
Female 1 is currently dehydrated on tick: 4168
Male 2 is currently dehydrated on tick: 4168
Female 2 is currently dehydrated on tick: 4168
Male 1 is currently dehydrated on tick: 4169
Female 1 is currently dehydrated on tick: 4169
Male 2 is currently dehydrated on tick: 4169
Female 2 is currently dehydrated on tick: 4169
Male 1 is currently dehydrated on tick: 4170
Female 1 is currently dehydrated on tick: 4170
Male 2 is currently dehydrated on tick: 4170
Female 2 is currently dehydrated on tick: 4170
Male 1 is currently dehydrated on tick: 4171
Female 1 is currently dehydrated on tick: 4171
Male 2 is currently dehydrated on tick: 4171
Female 2 is currently dehydrated on tick: 4171
Male 1 is currently dehydrated on tick: 4172
Female 1 is currently dehydrated on tick: 4172
Male 2 is currently dehydrated on tick: 4172
Female 2 is currently dehydrated on tick: 4172
Male 1 is currently dehydrated on tick: 4173
Female 1 is currently dehydrated on tick: 4173
Female 1 has died from dehydration on tick: 4173 with a risk value of: 0.039233
Female 1 has been killed
Male 2 is currently dehydrated on tick: 4173
Female 2 is currently dehydrated on tick: 4173
Elapsed time is 428.986387 seconds.
Simulation Run Ended: 09-Mar-2015 17:19:11
