Simulation Run Started: 09-Mar-2015 22:18:07
Baseline Simulation Run - With Lettuce & All ISRU
Failure invoked in waterRS.UPAerror at tick 1
Male 2 is currently dehydrated on tick: 9403
Female 2 is currently dehydrated on tick: 9403
Male 1 is currently dehydrated on tick: 9404
Female 1 is currently dehydrated on tick: 9404
Male 2 is currently dehydrated on tick: 9404
Female 2 is currently dehydrated on tick: 9404
Male 1 is currently dehydrated on tick: 9405
Female 1 is currently dehydrated on tick: 9405
Male 2 is currently dehydrated on tick: 9405
Female 2 is currently dehydrated on tick: 9405
Male 1 is currently dehydrated on tick: 9406
Female 1 is currently dehydrated on tick: 9406
Male 2 is currently dehydrated on tick: 9406
Female 2 is currently dehydrated on tick: 9406
Male 1 is currently dehydrated on tick: 9407
Female 1 is currently dehydrated on tick: 9407
Male 2 is currently dehydrated on tick: 9407
Female 2 is currently dehydrated on tick: 9407
Male 1 is currently dehydrated on tick: 9408
Female 1 is currently dehydrated on tick: 9408
Male 2 is currently dehydrated on tick: 9408
Female 2 is currently dehydrated on tick: 9408
Male 1 is currently dehydrated on tick: 9409
Female 1 is currently dehydrated on tick: 9409
Male 2 is currently dehydrated on tick: 9409
Female 2 is currently dehydrated on tick: 9409
Male 1 is currently dehydrated on tick: 9410
Female 1 is currently dehydrated on tick: 9410
Male 2 is currently dehydrated on tick: 9410
Female 2 is currently dehydrated on tick: 9410
Male 1 is currently dehydrated on tick: 9411
Female 1 is currently dehydrated on tick: 9411
Male 2 is currently dehydrated on tick: 9411
Female 2 is currently dehydrated on tick: 9411
Male 1 is currently dehydrated on tick: 9412
Female 1 is currently dehydrated on tick: 9412
Male 2 is currently dehydrated on tick: 9412
Female 2 is currently dehydrated on tick: 9412
Male 1 is currently dehydrated on tick: 9413
Female 1 is currently dehydrated on tick: 9413
Male 2 is currently dehydrated on tick: 9413
Female 2 is currently dehydrated on tick: 9413
Male 1 is currently dehydrated on tick: 9414
Female 1 is currently dehydrated on tick: 9414
Male 2 is currently dehydrated on tick: 9414
Female 2 is currently dehydrated on tick: 9414
Male 1 is currently dehydrated on tick: 9415
Female 1 is currently dehydrated on tick: 9415
Male 2 is currently dehydrated on tick: 9415
Female 2 is currently dehydrated on tick: 9415
Male 1 is currently dehydrated on tick: 9416
Female 1 is currently dehydrated on tick: 9416
Male 2 is currently dehydrated on tick: 9416
Female 2 is currently dehydrated on tick: 9416
Male 1 is currently dehydrated on tick: 9417
Female 1 is currently dehydrated on tick: 9417
Male 2 is currently dehydrated on tick: 9417
Female 2 is currently dehydrated on tick: 9417
Male 1 is currently dehydrated on tick: 9418
Female 1 is currently dehydrated on tick: 9418
Male 2 is currently dehydrated on tick: 9418
Female 2 is currently dehydrated on tick: 9418
Male 1 is currently dehydrated on tick: 9419
Female 1 is currently dehydrated on tick: 9419
Male 2 is currently dehydrated on tick: 9419
Female 2 is currently dehydrated on tick: 9419
Male 1 is currently dehydrated on tick: 9420
Female 1 is currently dehydrated on tick: 9420
Male 2 is currently dehydrated on tick: 9420
Female 2 is currently dehydrated on tick: 9420
Male 2 is currently dehydrated on tick: 9460
Female 2 is currently dehydrated on tick: 9460
Male 1 is currently dehydrated on tick: 9461
Female 1 is currently dehydrated on tick: 9461
Male 2 is currently dehydrated on tick: 9461
Female 2 is currently dehydrated on tick: 9461
Male 1 is currently dehydrated on tick: 9462
Female 1 is currently dehydrated on tick: 9462
Male 2 is currently dehydrated on tick: 9462
Female 2 is currently dehydrated on tick: 9462
Male 1 is currently dehydrated on tick: 9463
Female 1 is currently dehydrated on tick: 9463
Male 2 is currently dehydrated on tick: 9463
Female 2 is currently dehydrated on tick: 9463
Male 1 is currently dehydrated on tick: 9464
Female 1 is currently dehydrated on tick: 9464
Male 2 is currently dehydrated on tick: 9464
Female 2 is currently dehydrated on tick: 9464
Male 1 is currently dehydrated on tick: 9465
Female 1 is currently dehydrated on tick: 9465
Male 2 is currently dehydrated on tick: 9465
Female 2 is currently dehydrated on tick: 9465
Male 1 is currently dehydrated on tick: 9466
Female 1 is currently dehydrated on tick: 9466
Male 2 is currently dehydrated on tick: 9466
Female 2 is currently dehydrated on tick: 9466
Male 1 is currently dehydrated on tick: 9467
Female 1 is currently dehydrated on tick: 9467
Male 2 is currently dehydrated on tick: 9467
Female 2 is currently dehydrated on tick: 9467
Insufficient resources available to fill PLSS Feedwater Reservoir. Filling store with as many resources as is available
Male 1 is currently dehydrated on tick: 9468
Female 1 is currently dehydrated on tick: 9468
Male 2 is currently dehydrated on tick: 9468
Female 2 is currently dehydrated on tick: 9468
Male 1 is currently dehydrated on tick: 9469
Female 1 is currently dehydrated on tick: 9469
Male 2 is currently dehydrated on tick: 9469
Female 2 is currently dehydrated on tick: 9469
Male 1 is currently dehydrated on tick: 9470
Female 1 is currently dehydrated on tick: 9470
Male 2 is currently dehydrated on tick: 9470
Female 2 is currently dehydrated on tick: 9470
Male 1 is currently dehydrated on tick: 9471
Female 1 is currently dehydrated on tick: 9471
Male 2 is currently dehydrated on tick: 9471
Female 2 is currently dehydrated on tick: 9471
Male 1 is currently dehydrated on tick: 9472
Female 1 is currently dehydrated on tick: 9472
Male 2 is currently dehydrated on tick: 9472
Female 2 is currently dehydrated on tick: 9472
Male 1 is currently dehydrated on tick: 9473
Female 1 is currently dehydrated on tick: 9473
Male 2 is currently dehydrated on tick: 9473
Female 2 is currently dehydrated on tick: 9473
Male 1 is currently dehydrated on tick: 9474
Female 1 is currently dehydrated on tick: 9474
Male 2 is currently dehydrated on tick: 9474
Female 2 is currently dehydrated on tick: 9474
Male 1 is currently dehydrated on tick: 9475
Female 1 is currently dehydrated on tick: 9475
Male 2 is currently dehydrated on tick: 9475
Female 2 is currently dehydrated on tick: 9475
Male 1 is currently dehydrated on tick: 9476
Female 1 is currently dehydrated on tick: 9476
Male 2 is currently dehydrated on tick: 9476
Female 2 is currently dehydrated on tick: 9476
Male 1 is currently dehydrated on tick: 9477
Female 1 is currently dehydrated on tick: 9477
Male 2 is currently dehydrated on tick: 9477
Female 2 is currently dehydrated on tick: 9477
Male 1 is currently dehydrated on tick: 9478
Female 1 is currently dehydrated on tick: 9478
Male 2 is currently dehydrated on tick: 9478
Female 2 is currently dehydrated on tick: 9478
Male 1 is currently dehydrated on tick: 9479
Female 1 is currently dehydrated on tick: 9479
Male 2 is currently dehydrated on tick: 9479
Female 2 is currently dehydrated on tick: 9479
Male 1 is currently dehydrated on tick: 9480
Female 1 is currently dehydrated on tick: 9480
Male 2 is currently dehydrated on tick: 9480
Female 2 is currently dehydrated on tick: 9480
Male 1 is currently dehydrated on tick: 9481
Female 1 is currently dehydrated on tick: 9481
Female 1 has died from dehydration on tick: 9481 with a risk value of: 0.040001
Female 1 has been killed
Male 2 is currently dehydrated on tick: 9481
Female 2 is currently dehydrated on tick: 9481
Elapsed time is 203.686881 seconds.
Simulation Run Ended: 09-Mar-2015 22:21:31
