Simulation Run Started: 19-Apr-2015 00:28:33
Baseline Simulation Run - With Lettuce & All ISRU
Failure invoked in waterRS.WPAerror at tick 1
Male 1 is currently dehydrated on tick: 4337
Female 1 is currently dehydrated on tick: 4337
Male 2 is currently dehydrated on tick: 4337
Female 2 is currently dehydrated on tick: 4337
Male 1 is currently dehydrated on tick: 4338
Female 1 is currently dehydrated on tick: 4338
Male 2 is currently dehydrated on tick: 4338
Female 2 is currently dehydrated on tick: 4338
Male 1 is currently dehydrated on tick: 4339
Female 1 is currently dehydrated on tick: 4339
Male 2 is currently dehydrated on tick: 4339
Female 2 is currently dehydrated on tick: 4339
Male 1 is currently dehydrated on tick: 4340
Female 1 is currently dehydrated on tick: 4340
Male 2 is currently dehydrated on tick: 4340
Female 2 is currently dehydrated on tick: 4340
Male 1 is currently dehydrated on tick: 4341
Female 1 is currently dehydrated on tick: 4341
Male 2 is currently dehydrated on tick: 4341
Female 2 is currently dehydrated on tick: 4341
Male 1 is currently dehydrated on tick: 4342
Female 1 is currently dehydrated on tick: 4342
Male 2 is currently dehydrated on tick: 4342
Female 2 is currently dehydrated on tick: 4342
Male 1 is currently dehydrated on tick: 4343
Female 1 is currently dehydrated on tick: 4343
Male 2 is currently dehydrated on tick: 4343
Female 2 is currently dehydrated on tick: 4343
Male 1 is currently dehydrated on tick: 4344
Female 1 is currently dehydrated on tick: 4344
Male 2 is currently dehydrated on tick: 4344
Female 2 is currently dehydrated on tick: 4344
Male 1 is currently dehydrated on tick: 4345
Female 1 is currently dehydrated on tick: 4345
Male 2 is currently dehydrated on tick: 4345
Female 2 is currently dehydrated on tick: 4345
Male 1 is currently dehydrated on tick: 4346
Female 1 is currently dehydrated on tick: 4346
Male 2 is currently dehydrated on tick: 4346
Female 2 is currently dehydrated on tick: 4346
Male 1 is currently dehydrated on tick: 4347
Female 1 is currently dehydrated on tick: 4347
Male 2 is currently dehydrated on tick: 4347
Female 2 is currently dehydrated on tick: 4347
Male 1 is currently dehydrated on tick: 4348
Female 1 is currently dehydrated on tick: 4348
Male 2 is currently dehydrated on tick: 4348
Female 2 is currently dehydrated on tick: 4348
Male 1 is currently dehydrated on tick: 4349
Female 1 is currently dehydrated on tick: 4349
Male 2 is currently dehydrated on tick: 4349
Female 2 is currently dehydrated on tick: 4349
Male 1 is currently dehydrated on tick: 4350
Female 1 is currently dehydrated on tick: 4350
Male 2 is currently dehydrated on tick: 4350
Female 2 is currently dehydrated on tick: 4350
Male 1 is currently dehydrated on tick: 4351
Female 1 is currently dehydrated on tick: 4351
Male 2 is currently dehydrated on tick: 4351
Female 2 is currently dehydrated on tick: 4351
Male 1 is currently dehydrated on tick: 4352
Female 1 is currently dehydrated on tick: 4352
Male 2 is currently dehydrated on tick: 4352
Female 2 is currently dehydrated on tick: 4352
Male 1 is currently dehydrated on tick: 4353
Female 1 is currently dehydrated on tick: 4353
Male 2 is currently dehydrated on tick: 4353
Female 2 is currently dehydrated on tick: 4353
Male 1 is currently dehydrated on tick: 4354
Female 1 is currently dehydrated on tick: 4354
Male 2 is currently dehydrated on tick: 4354
Female 2 is currently dehydrated on tick: 4354
Male 1 is currently dehydrated on tick: 4355
Female 1 is currently dehydrated on tick: 4355
Male 2 is currently dehydrated on tick: 4355
Female 2 is currently dehydrated on tick: 4355
Insufficient resources available to fill PLSS Feedwater Reservoir. Filling store with as many resources as is available
Male 1 is currently dehydrated on tick: 4356
Female 1 is currently dehydrated on tick: 4356
Male 2 is currently dehydrated on tick: 4356
Female 2 is currently dehydrated on tick: 4356
Male 1 is currently dehydrated on tick: 4357
Female 1 is currently dehydrated on tick: 4357
Male 2 is currently dehydrated on tick: 4357
Female 2 is currently dehydrated on tick: 4357
Male 1 is currently dehydrated on tick: 4358
Female 1 is currently dehydrated on tick: 4358
Male 2 is currently dehydrated on tick: 4358
Female 2 is currently dehydrated on tick: 4358
Male 1 is currently dehydrated on tick: 4359
Female 1 is currently dehydrated on tick: 4359
Male 2 is currently dehydrated on tick: 4359
Female 2 is currently dehydrated on tick: 4359
Male 1 is currently dehydrated on tick: 4360
Female 1 is currently dehydrated on tick: 4360
Male 2 is currently dehydrated on tick: 4360
Female 2 is currently dehydrated on tick: 4360
Male 1 is currently dehydrated on tick: 4361
Female 1 is currently dehydrated on tick: 4361
Female 1 has died from dehydration on tick: 4361 with a risk value of: 0.038322
Female 1 has been killed
Male 2 is currently dehydrated on tick: 4361
Female 2 is currently dehydrated on tick: 4361
Elapsed time is 141.495900 seconds.
Simulation Run Ended: 19-Apr-2015 00:30:54
