Simulation Run Started: 21-Apr-2015 12:38:52
Baseline Simulation Run - With Lettuce & All ISRU
Failure invoked in waterRS.UPAerror at tick 1
Male 1 is currently dehydrated on tick: 8831
Female 1 is currently dehydrated on tick: 8831
Male 2 is currently dehydrated on tick: 8831
Female 2 is currently dehydrated on tick: 8831
Male 1 is currently dehydrated on tick: 8832
Female 1 is currently dehydrated on tick: 8832
Male 2 is currently dehydrated on tick: 8832
Female 2 is currently dehydrated on tick: 8832
Male 1 is currently dehydrated on tick: 8833
Female 1 is currently dehydrated on tick: 8833
Male 2 is currently dehydrated on tick: 8833
Female 2 is currently dehydrated on tick: 8833
Male 1 is currently dehydrated on tick: 8834
Female 1 is currently dehydrated on tick: 8834
Male 2 is currently dehydrated on tick: 8834
Female 2 is currently dehydrated on tick: 8834
Male 1 is currently dehydrated on tick: 8835
Female 1 is currently dehydrated on tick: 8835
Male 2 is currently dehydrated on tick: 8835
Female 2 is currently dehydrated on tick: 8835
Male 1 is currently dehydrated on tick: 8836
Female 1 is currently dehydrated on tick: 8836
Male 2 is currently dehydrated on tick: 8836
Female 2 is currently dehydrated on tick: 8836
Male 1 is currently dehydrated on tick: 8837
Female 1 is currently dehydrated on tick: 8837
Male 2 is currently dehydrated on tick: 8837
Female 2 is currently dehydrated on tick: 8837
Male 1 is currently dehydrated on tick: 8838
Female 1 is currently dehydrated on tick: 8838
Male 2 is currently dehydrated on tick: 8838
Female 2 is currently dehydrated on tick: 8838
Male 1 is currently dehydrated on tick: 8839
Female 1 is currently dehydrated on tick: 8839
Male 2 is currently dehydrated on tick: 8839
Female 2 is currently dehydrated on tick: 8839
Male 1 is currently dehydrated on tick: 8840
Female 1 is currently dehydrated on tick: 8840
Male 2 is currently dehydrated on tick: 8840
Female 2 is currently dehydrated on tick: 8840
Male 1 is currently dehydrated on tick: 8841
Female 1 is currently dehydrated on tick: 8841
Male 2 is currently dehydrated on tick: 8841
Female 2 is currently dehydrated on tick: 8841
Male 1 is currently dehydrated on tick: 8842
Female 1 is currently dehydrated on tick: 8842
Male 2 is currently dehydrated on tick: 8842
Female 2 is currently dehydrated on tick: 8842
Male 1 is currently dehydrated on tick: 8843
Female 1 is currently dehydrated on tick: 8843
Male 2 is currently dehydrated on tick: 8843
Female 2 is currently dehydrated on tick: 8843
Insufficient resources available to fill PLSS Feedwater Reservoir. Filling store with as many resources as is available
Male 1 is currently dehydrated on tick: 8844
Female 1 is currently dehydrated on tick: 8844
Male 2 is currently dehydrated on tick: 8844
Female 2 is currently dehydrated on tick: 8844
Male 1 is currently dehydrated on tick: 8845
Female 1 is currently dehydrated on tick: 8845
Male 2 is currently dehydrated on tick: 8845
Female 2 is currently dehydrated on tick: 8845
Male 1 is currently dehydrated on tick: 8846
Female 1 is currently dehydrated on tick: 8846
Male 2 is currently dehydrated on tick: 8846
Female 2 is currently dehydrated on tick: 8846
Male 1 is currently dehydrated on tick: 8847
Female 1 is currently dehydrated on tick: 8847
Male 2 is currently dehydrated on tick: 8847
Female 2 is currently dehydrated on tick: 8847
Male 1 is currently dehydrated on tick: 8848
Female 1 is currently dehydrated on tick: 8848
Male 2 is currently dehydrated on tick: 8848
Female 2 is currently dehydrated on tick: 8848
Male 1 is currently dehydrated on tick: 8849
Female 1 is currently dehydrated on tick: 8849
Male 2 is currently dehydrated on tick: 8849
Female 2 is currently dehydrated on tick: 8849
Male 1 is currently dehydrated on tick: 8850
Female 1 is currently dehydrated on tick: 8850
Male 2 is currently dehydrated on tick: 8850
Female 2 is currently dehydrated on tick: 8850
Male 1 is currently dehydrated on tick: 8851
Female 1 is currently dehydrated on tick: 8851
Male 2 is currently dehydrated on tick: 8851
Female 2 is currently dehydrated on tick: 8851
Male 1 is currently dehydrated on tick: 8852
Female 1 is currently dehydrated on tick: 8852
Male 2 is currently dehydrated on tick: 8852
Female 2 is currently dehydrated on tick: 8852
Male 1 is currently dehydrated on tick: 8853
Female 1 is currently dehydrated on tick: 8853
Male 2 is currently dehydrated on tick: 8853
Female 2 is currently dehydrated on tick: 8853
Male 1 is currently dehydrated on tick: 8854
Female 1 is currently dehydrated on tick: 8854
Male 2 is currently dehydrated on tick: 8854
Female 2 is currently dehydrated on tick: 8854
Male 1 is currently dehydrated on tick: 8855
Female 1 is currently dehydrated on tick: 8855
Male 2 is currently dehydrated on tick: 8855
Female 2 is currently dehydrated on tick: 8855
Female 2 has died from dehydration on tick: 8860 with a risk value of: 0.023142
Female 2 has been killed
Elapsed time is 264.567875 seconds.
Simulation Run Ended: 21-Apr-2015 12:43:16
