Simulation Run Started: 24-Feb-2015 16:00:38
Baseline Simulation Run - With Lettuce & All ISRU
Failure invoked in waterRS.UPAerror at tick 1
Female 1 is currently dehydrated on tick: 8700
Male 2 is currently dehydrated on tick: 8700
Female 2 is currently dehydrated on tick: 8700
Male 1 is currently dehydrated on tick: 8701
Female 1 is currently dehydrated on tick: 8701
Male 2 is currently dehydrated on tick: 8701
Female 2 is currently dehydrated on tick: 8701
Male 2 is currently dehydrated on tick: 8753
Female 2 is currently dehydrated on tick: 8753
Male 1 is currently dehydrated on tick: 8754
Female 1 is currently dehydrated on tick: 8754
Male 2 is currently dehydrated on tick: 8754
Female 2 is currently dehydrated on tick: 8754
Female 1 is currently dehydrated on tick: 8755
Male 2 is currently dehydrated on tick: 8755
Female 2 is currently dehydrated on tick: 8755
Female 1 is currently dehydrated on tick: 8756
Male 2 is currently dehydrated on tick: 8756
Female 2 is currently dehydrated on tick: 8756
Male 1 is currently dehydrated on tick: 8757
Female 1 is currently dehydrated on tick: 8757
Male 2 is currently dehydrated on tick: 8757
Female 2 is currently dehydrated on tick: 8757
Male 1 is currently dehydrated on tick: 8758
Female 1 is currently dehydrated on tick: 8758
Male 2 is currently dehydrated on tick: 8758
Female 2 is currently dehydrated on tick: 8758
Male 1 is currently dehydrated on tick: 8759
Female 1 is currently dehydrated on tick: 8759
Male 2 is currently dehydrated on tick: 8759
Female 2 is currently dehydrated on tick: 8759
Male 1 is currently dehydrated on tick: 8760
Female 1 is currently dehydrated on tick: 8760
Male 2 is currently dehydrated on tick: 8760
Female 2 is currently dehydrated on tick: 8760
Female 1 is currently dehydrated on tick: 8761
Male 2 is currently dehydrated on tick: 8761
Female 2 is currently dehydrated on tick: 8761
Male 1 is currently dehydrated on tick: 8762
Female 1 is currently dehydrated on tick: 8762
Male 2 is currently dehydrated on tick: 8762
Female 2 is currently dehydrated on tick: 8762
Male 1 is currently dehydrated on tick: 8763
Female 1 is currently dehydrated on tick: 8763
Male 2 is currently dehydrated on tick: 8763
Female 2 is currently dehydrated on tick: 8763
Male 1 is currently dehydrated on tick: 8764
Female 1 is currently dehydrated on tick: 8764
Male 2 is currently dehydrated on tick: 8764
Female 2 is currently dehydrated on tick: 8764
Male 1 is currently dehydrated on tick: 8765
Female 1 is currently dehydrated on tick: 8765
Male 2 is currently dehydrated on tick: 8765
Female 2 is currently dehydrated on tick: 8765
Female 1 is currently dehydrated on tick: 8766
Male 2 is currently dehydrated on tick: 8766
Female 2 is currently dehydrated on tick: 8766
Female 1 is currently dehydrated on tick: 8816
Male 2 is currently dehydrated on tick: 8816
Female 2 is currently dehydrated on tick: 8816
Female 1 is currently dehydrated on tick: 8817
Male 2 is currently dehydrated on tick: 8817
Female 2 is currently dehydrated on tick: 8817
Female 1 is currently dehydrated on tick: 8818
Male 2 is currently dehydrated on tick: 8818
Female 2 is currently dehydrated on tick: 8818
Male 1 is currently dehydrated on tick: 8819
Female 1 is currently dehydrated on tick: 8819
Male 2 is currently dehydrated on tick: 8819
Female 2 is currently dehydrated on tick: 8819
Insufficient resources available to fill PLSS Feedwater Reservoir. Filling store with as many resources as is available
Male 1 is currently dehydrated on tick: 8820
Female 1 is currently dehydrated on tick: 8820
Male 2 is currently dehydrated on tick: 8820
Female 2 is currently dehydrated on tick: 8820
Female 1 is currently dehydrated on tick: 8821
Male 2 is currently dehydrated on tick: 8821
Female 2 is currently dehydrated on tick: 8821
Male 1 is currently dehydrated on tick: 8822
Female 1 is currently dehydrated on tick: 8822
Male 2 is currently dehydrated on tick: 8822
Female 2 is currently dehydrated on tick: 8822
Female 1 is currently dehydrated on tick: 8823
Male 2 is currently dehydrated on tick: 8823
Female 2 is currently dehydrated on tick: 8823
Female 1 is currently dehydrated on tick: 8824
Male 2 is currently dehydrated on tick: 8824
Female 2 is currently dehydrated on tick: 8824
Female 1 is currently dehydrated on tick: 8825
Male 2 is currently dehydrated on tick: 8825
Female 2 is currently dehydrated on tick: 8825
Female 1 is currently dehydrated on tick: 8826
Male 2 is currently dehydrated on tick: 8826
Female 2 is currently dehydrated on tick: 8826
Female 1 is currently dehydrated on tick: 8827
Male 2 is currently dehydrated on tick: 8827
Female 2 is currently dehydrated on tick: 8827
Female 1 is currently dehydrated on tick: 8828
Male 2 is currently dehydrated on tick: 8828
Female 2 is currently dehydrated on tick: 8828
Male 1 is currently dehydrated on tick: 8829
Female 1 is currently dehydrated on tick: 8829
Male 2 is currently dehydrated on tick: 8829
Female 2 is currently dehydrated on tick: 8829
Male 1 is currently dehydrated on tick: 8830
Female 1 is currently dehydrated on tick: 8830
Male 2 is currently dehydrated on tick: 8830
Female 2 is currently dehydrated on tick: 8830
Male 1 is currently dehydrated on tick: 8831
Female 1 is currently dehydrated on tick: 8831
Male 2 is currently dehydrated on tick: 8831
Female 2 is currently dehydrated on tick: 8831
Female 1 is currently dehydrated on tick: 8832
