Simulation Run Started: 21-Apr-2015 12:37:58
Baseline Simulation Run - With Lettuce & All ISRU
Failure invoked in waterRS.WPAerror at tick 1
Female 1 is currently dehydrated on tick: 3840
Male 2 is currently dehydrated on tick: 3840
Female 2 is currently dehydrated on tick: 3840
Male 1 is currently dehydrated on tick: 3841
Female 1 is currently dehydrated on tick: 3841
Male 2 is currently dehydrated on tick: 3841
Female 2 is currently dehydrated on tick: 3841
Male 1 is currently dehydrated on tick: 3842
Female 1 is currently dehydrated on tick: 3842
Male 2 is currently dehydrated on tick: 3842
Female 2 is currently dehydrated on tick: 3842
Male 1 is currently dehydrated on tick: 3843
Female 1 is currently dehydrated on tick: 3843
Male 2 is currently dehydrated on tick: 3843
Female 2 is currently dehydrated on tick: 3843
Male 1 is currently dehydrated on tick: 3844
Female 1 is currently dehydrated on tick: 3844
Male 2 is currently dehydrated on tick: 3844
Female 2 is currently dehydrated on tick: 3844
Male 1 is currently dehydrated on tick: 3845
Female 1 is currently dehydrated on tick: 3845
Male 2 is currently dehydrated on tick: 3845
Female 2 is currently dehydrated on tick: 3845
Male 1 is currently dehydrated on tick: 3846
Female 1 is currently dehydrated on tick: 3846
Male 2 is currently dehydrated on tick: 3846
Female 2 is currently dehydrated on tick: 3846
Male 1 is currently dehydrated on tick: 3847
Female 1 is currently dehydrated on tick: 3847
Male 2 is currently dehydrated on tick: 3847
Female 2 is currently dehydrated on tick: 3847
Male 1 is currently dehydrated on tick: 3848
Female 1 is currently dehydrated on tick: 3848
Male 2 is currently dehydrated on tick: 3848
Female 2 is currently dehydrated on tick: 3848
Male 1 is currently dehydrated on tick: 3849
Female 1 is currently dehydrated on tick: 3849
Male 2 is currently dehydrated on tick: 3849
Female 2 is currently dehydrated on tick: 3849
Male 1 is currently dehydrated on tick: 3850
Female 1 is currently dehydrated on tick: 3850
Male 2 is currently dehydrated on tick: 3850
Female 2 is currently dehydrated on tick: 3850
Male 1 is currently dehydrated on tick: 3851
Female 1 is currently dehydrated on tick: 3851
Male 2 is currently dehydrated on tick: 3851
Female 2 is currently dehydrated on tick: 3851
Insufficient resources available to fill PLSS Feedwater Reservoir. Filling store with as many resources as is available
Male 1 is currently dehydrated on tick: 3852
Female 1 is currently dehydrated on tick: 3852
Male 2 is currently dehydrated on tick: 3852
Female 2 is currently dehydrated on tick: 3852
Male 1 is currently dehydrated on tick: 3853
Female 1 is currently dehydrated on tick: 3853
Male 2 is currently dehydrated on tick: 3853
Female 2 is currently dehydrated on tick: 3853
Male 1 is currently dehydrated on tick: 3854
Female 1 is currently dehydrated on tick: 3854
Male 2 is currently dehydrated on tick: 3854
Female 2 is currently dehydrated on tick: 3854
Male 1 is currently dehydrated on tick: 3855
Female 1 is currently dehydrated on tick: 3855
Male 2 is currently dehydrated on tick: 3855
Female 2 is currently dehydrated on tick: 3855
Male 1 is currently dehydrated on tick: 3856
Female 1 is currently dehydrated on tick: 3856
Male 2 is currently dehydrated on tick: 3856
Female 2 is currently dehydrated on tick: 3856
Male 1 is currently dehydrated on tick: 3857
Female 1 is currently dehydrated on tick: 3857
Male 2 is currently dehydrated on tick: 3857
Female 2 is currently dehydrated on tick: 3857
Male 1 is currently dehydrated on tick: 3858
Female 1 is currently dehydrated on tick: 3858
Male 2 is currently dehydrated on tick: 3858
Female 2 is currently dehydrated on tick: 3858
Male 1 is currently dehydrated on tick: 3859
Female 1 is currently dehydrated on tick: 3859
Male 2 is currently dehydrated on tick: 3859
Female 2 is currently dehydrated on tick: 3859
Male 1 is currently dehydrated on tick: 3860
Female 1 is currently dehydrated on tick: 3860
Male 2 is currently dehydrated on tick: 3860
Female 2 is currently dehydrated on tick: 3860
Male 1 is currently dehydrated on tick: 3861
Female 1 is currently dehydrated on tick: 3861
Male 2 is currently dehydrated on tick: 3861
Female 2 is currently dehydrated on tick: 3861
Male 1 is currently dehydrated on tick: 3862
Male 1 has died from dehydration on tick: 3862 with a risk value of: 0.01058
Male 1 has been killed
Female 1 is currently dehydrated on tick: 3862
Male 2 is currently dehydrated on tick: 3862
Female 2 is currently dehydrated on tick: 3862
Elapsed time is 94.514251 seconds.
Simulation Run Ended: 21-Apr-2015 12:39:33
